2024-12-23 09:12:39,855 INFO    MainThread:8360 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-23 09:12:39,856 INFO    MainThread:8360 [wandb_setup.py:_flush():68] Configure stats pid to 8360
2024-12-23 09:12:39,856 INFO    MainThread:8360 [wandb_setup.py:_flush():68] Loading settings from /home/codespace/.config/wandb/settings
2024-12-23 09:12:39,856 INFO    MainThread:8360 [wandb_setup.py:_flush():68] Loading settings from /workspaces/ML_Analysis/02/experiment_tracking/wandb/settings
2024-12-23 09:12:39,856 INFO    MainThread:8360 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-23 09:12:39,856 INFO    MainThread:8360 [wandb_init.py:_log_setup():528] Logging user logs to /workspaces/ML_Analysis/02/experiment_tracking/wandb/run-20241223_091239-gvzwk75k/logs/debug.log
2024-12-23 09:12:39,856 INFO    MainThread:8360 [wandb_init.py:_log_setup():529] Logging internal logs to /workspaces/ML_Analysis/02/experiment_tracking/wandb/run-20241223_091239-gvzwk75k/logs/debug-internal.log
2024-12-23 09:12:39,856 INFO    MainThread:8360 [wandb_init.py:_jupyter_setup():474] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x70804b842c10>
2024-12-23 09:12:39,858 INFO    MainThread:8360 [wandb_init.py:init():644] calling init triggers
2024-12-23 09:12:39,859 INFO    MainThread:8360 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {}
2024-12-23 09:12:39,859 INFO    MainThread:8360 [wandb_init.py:init():680] starting backend
2024-12-23 09:12:39,859 INFO    MainThread:8360 [wandb_init.py:init():684] sending inform_init request
2024-12-23 09:12:39,897 INFO    MainThread:8360 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-23 09:12:39,898 INFO    MainThread:8360 [wandb_init.py:init():697] backend started and connected
2024-12-23 09:12:39,918 INFO    MainThread:8360 [wandb_run.py:_label_probe_notebook():1222] probe notebook
2024-12-23 09:12:39,918 INFO    MainThread:8360 [wandb_run.py:_label_probe_notebook():1232] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-12-23 09:12:39,918 INFO    MainThread:8360 [wandb_init.py:init():790] updated telemetry
2024-12-23 09:12:39,956 INFO    MainThread:8360 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-23 09:12:40,274 INFO    MainThread:8360 [wandb_init.py:init():874] starting run threads in backend
2024-12-23 09:12:40,469 INFO    MainThread:8360 [wandb_run.py:_console_start():2374] atexit reg
2024-12-23 09:12:40,470 INFO    MainThread:8360 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-23 09:12:40,470 INFO    MainThread:8360 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-23 09:12:40,470 INFO    MainThread:8360 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-23 09:12:40,473 INFO    MainThread:8360 [wandb_init.py:init():916] run started, returning control to user process
2024-12-23 09:12:40,664 INFO    MainThread:8360 [wandb_run.py:_finish():2100] finishing run nyamadie1-whisper-health/First/gvzwk75k
2024-12-23 09:12:40,665 INFO    MainThread:8360 [jupyter.py:save_history():458] not saving jupyter history
2024-12-23 09:12:40,665 INFO    MainThread:8360 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-23 09:12:40,665 INFO    MainThread:8360 [wandb_init.py:_jupyter_teardown():456] cleaning up jupyter logic
2024-12-23 09:12:40,665 INFO    MainThread:8360 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 0
2024-12-23 09:12:40,665 INFO    MainThread:8360 [wandb_run.py:_restore():2321] restore
2024-12-23 09:12:40,665 INFO    MainThread:8360 [wandb_run.py:_restore():2327] restore done
2024-12-23 09:12:42,448 INFO    MainThread:8360 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2024-12-23 09:12:42,448 INFO    MainThread:8360 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2024-12-23 09:12:42,452 INFO    MainThread:8360 [wandb_run.py:_footer_sync_info():3853] logging synced files
